label,value
summary_democrats_program_ycls_se,0.062114539818542036
summary_doctor_pre_estimate,0.153726869729275
summary_doctor_pre_se,0.030247090425325668
summary_doctor_ycls_estimate,0.031715187449676545
summary_doctor_ycls_se,0.02698122981906113
summary_economic_system_justification_pre_estimate,0.1943300973321597
summary_economic_system_justification_pre_se,0.09235785314255614
summary_economic_system_justification_ycls_estimate,0.05741505064718685
summary_economic_system_justification_ycls_se,0.07515025966323334
summary_escape_persecution_pre_estimate,0.03806270945018617
summary_escape_persecution_pre_se,0.02024974783297383
summary_escape_persecution_ycls_estimate,0.03136329811715809
summary_escape_persecution_ycls_se,0.015580526023165014
summary_estimates_conjoint,82
summary_estimates_nonconjoint,56
summary_estimates_total,138
summary_ethical_strike_nuclear_pre_estimate,0.224909673320711
summary_ethical_strike_nuclear_pre_se,0.05336386800526494
summary_ethical_strike_nuclear_ycls_estimate,0.07291501548415656
summary_ethical_strike_nuclear_ycls_se,0.06437419088236881
summary_financial_analyst_pre_estimate,0.0481503621442029
summary_financial_analyst_pre_se,0.03283582883728281
summary_financial_analyst_ycls_estimate,0.03472763983779253
summary_financial_analyst_ycls_se,0.02601345156232082
summary_foreign_aid_misperceptions_pre_estimate,0.21244362575314402
summary_foreign_aid_misperceptions_pre_se,0.06352206011912954
summary_foreign_aid_misperceptions_ycls_estimate,-0.05245503955239242
summary_foreign_aid_misperceptions_ycls_se,0.06176548235288465
summary_france_pre_estimate,0.01232497469174791
summary_france_pre_se,0.021900818233181935
summary_france_ycls_estimate,0.024072345304991288
summary_france_ycls_se,0.023833375287804784
summary_gain_v_loss_framing_pre_estimate,0.5942578948129076
summary_gain_v_loss_framing_pre_se,0.028520511233736282
summary_gain_v_loss_framing_ycls_estimate,0.2994795837630353
summary_gain_v_loss_framing_ycls_se,0.038056532992810005
summary_gardener_pre_estimate,0.015907356236252893
summary_gardener_pre_se,0.020798792022383255
summary_gardener_ycls_estimate,0.0013232606959188427
summary_gardener_ycls_se,0.01985537430208823
summary_graduate_degree_pre_estimate,0.1717376017283907
summary_graduate_degree_pre_se,0.018846793461657314
summary_graduate_degree_ycls_estimate,0.1355851633492425
summary_graduate_degree_ycls_se,0.018537106086969252
summary_high_school_pre_estimate,0.11594816756108896
summary_high_school_pre_se,0.018395152809597165
summary_high_school_ycls_estimate,0.05961721505108673
summary_high_school_ycls_se,0.01901674200452271
summary_india_pre_estimate,0.040620391285319746
summary_india_pre_se,0.02115037331605308
summary_india_ycls_estimate,0.06446278651787243
summary_india_ycls_se,0.02348651932279122
summary_inequality_increased_pre_estimate,0.5539690409659892
summary_inequality_increased_pre_se,0.06073695882551479
summary_inequality_increased_ycls_estimate,0.4598373950178812
summary_inequality_increased_ycls_se,0.07527059367180251
summary_institutional_trust_pre_estimate,0.14731499381617535
summary_institutional_trust_pre_se,0.1120248303748187
summary_institutional_trust_ycls_estimate,0.07668513648557432
summary_institutional_trust_ycls_se,0.07462418989647156
summary_interviews_with_employer_pre_estimate,0.09773417992234393
summary_interviews_with_employer_pre_se,0.014723055177808624
summary_interviews_with_employer_ycls_estimate,0.04336839410540113
summary_interviews_with_employer_ycls_se,0.014005664809265001
summary_iraq_pre_estimate,0.14277054949759127
summary_iraq_pre_se,0.02366949617482937
summary_iraq_ycls_estimate,0.10646458333212681
summary_iraq_ycls_se,0.022990192123307808
summary_male_pre_estimate,0.022019839510634503
summary_male_pre_se,0.010344324379536512
summary_male_ycls_estimate,0.019338685293544895
summary_male_ycls_se,0.009775258515454048
summary_many_times_as_tourist_pre_estimate,0.05534596513102721
summary_many_times_as_tourist_pre_se,0.016310244225402202
summary_many_times_as_tourist_ycls_estimate,0.052632010503265124
