study_group_detail,study,estimate,std.error,study_group,conf.low,conf.high,statistic,p.value
Iraq,YCLS summary,0.10646458333212681,0.022990192123307808,Hainmueller & Hopkins (2015),0.06140380677044351,0.1515253598938101,4.630869666556261,3.6413304023152904e-6
Waiter,Pre-COVID summary,0.006598375155037591,0.02011082807089671,Hainmueller & Hopkins (2015),-0.03281884786391996,0.04601559817399514,0.32810061981417854,0.7428355853680775
Waiter,YCLS summary,0.0027210039167339098,0.020089983156804284,Hainmueller & Hopkins (2015),-0.036655363070602485,0.04209737090407031,0.13544082618169503,0.8922633468749479
Child care provider,Pre-COVID summary,0.01917269504121813,0.020094285840215626,Hainmueller & Hopkins (2015),-0.0202121052056045,0.05855749528804076,0.9541366731654093,0.34001446472775476
Child care provider,YCLS summary,0.013100240500062848,0.02068756702929614,Hainmueller & Hopkins (2015),-0.02744739087735758,0.05364787187748328,0.6332422020197589,0.5265754905019404
Gardener,Pre-COVID summary,0.015907356236252893,0.020798792022383255,Hainmueller & Hopkins (2015),-0.024858276127618286,0.05667298860012407,0.7648211597641683,0.44437804594888597
Gardener,YCLS summary,0.0013232606959188427,0.01985537430208823,Hainmueller & Hopkins (2015),-0.03759327293617409,0.04023979432801177,0.06664496351396773,0.9468643495835962
Financial analyst,Pre-COVID summary,0.0481503621442029,0.03283582883728281,Hainmueller & Hopkins (2015),-0.0162078623768714,0.1125085866652772,1.4663970379066997,0.14254015284092292
Financial analyst,YCLS summary,0.03472763983779253,0.02601345156232082,Hainmueller & Hopkins (2015),-0.016258725224356278,0.08571400489994133,1.3349877756358088,0.18188034741450854
Construction worker,Pre-COVID summary,0.052540567790817484,0.020843523019699665,Hainmueller & Hopkins (2015),0.011687262672206142,0.09339387290942883,2.5207143600993103,0.011711687947501659
Construction worker,YCLS summary,0.018063878429965395,0.019908517436051487,Hainmueller & Hopkins (2015),-0.020956815744695517,0.05708457260462631,0.9073442303269799,0.3642247913466927
Teacher,Pre-COVID summary,0.06408473264799625,0.020813682094629467,Hainmueller & Hopkins (2015),0.02328991574252249,0.10487954955347001,3.078971436031108,0.0020771659624940764
Teacher,YCLS summary,0.04637186924302847,0.020058859407792177,Hainmueller & Hopkins (2015),0.007056504803755803,0.08568723368230113,2.3117899328321028,0.020789262471759606
Computer programmer,Pre-COVID summary,0.06305380898415201,0.03233755339770716,Hainmueller & Hopkins (2015),-3.2779567535401455e-4,0.12643541364365804,1.9498633124367022,0.0511924129249377
Computer programmer,YCLS summary,0.0851118894258172,0.0252300174488064,Hainmueller & Hopkins (2015),0.03566105522615666,0.13456272362547772,3.3734375966451715,7.423587126513809e-4
Nurse,Pre-COVID summary,0.08390629816993031,0.020441930730413636,Hainmueller & Hopkins (2015),0.04384011393831958,0.12397248240154105,4.104617087127391,4.049851164200646e-5
Nurse,YCLS summary,0.06434489887643056,0.020063079367336076,Hainmueller & Hopkins (2015),0.02502126331645186,0.10366853443640928,3.2071297580165092,0.0013406650950029686
Research scientist,Pre-COVID summary,0.11249082556087958,0.03031663733017884,Hainmueller & Hopkins (2015),0.05307021639372906,0.1719114347280301,3.7105310966958744,2.068248876609946e-4
Research scientist,YCLS summary,0.06680614661179425,0.02621259371290855,Hainmueller & Hopkins (2015),0.015429462934493494,0.11818283028909501,2.548627859702993,0.0108147634981679
Doctor,Pre-COVID summary,0.153726869729275,0.030247090425325668,Hainmueller & Hopkins (2015),0.09444257249563667,0.2130111669629133,5.082368835071839,3.727567041700297e-7
Doctor,YCLS summary,0.031715187449676545,0.02698122981906113,Hainmueller & Hopkins (2015),-0.021168022995683267,0.08459839789503636,1.1754537381120806,0.2398132350203963
1-2 years,Pre-COVID summary,0.06338857136177631,0.013804820277928813,Hainmueller & Hopkins (2015),0.03633112361703583,0.09044601910651678,4.59177085145557,4.395007807911355e-6
1-2 years,YCLS summary,0.03701268699234894,0.013732433707866303,Hainmueller & Hopkins (2015),0.01009711692493099,0.0639282570597669,2.695275126006768,0.007033053255518729
3-5 years,Pre-COVID summary,0.09944196441669949,0.013984383700575486,Hainmueller & Hopkins (2015),0.07203257236357154,0.12685135646982743,7.110929344180341,1.1526335441658375e-12
3-5 years,YCLS summary,0.04234682867564837,0.013355652148896736,Hainmueller & Hopkins (2015),0.016169750463810764,0.06852390688748597,3.1707046727139034,0.0015206966117777831
5+ years,Pre-COVID summary,0.12347265359593922,0.01361541585990096,Hainmueller & Hopkins (2015),0.09678643851053334,0.1501588686813451,9.068592165413108,0
5+ years,YCLS summary,0.05476427803829348,0.013474403585519209,Hainmueller & Hopkins (2015),0.02835444701067583,0.08117410906591113,4.064319262126602,4.817285034586227e-5
Interviews with employer,Pre-COVID summary,0.09773417992234393,0.014723055177808624,Hainmueller & Hopkins (2015),0.06887699177383902,0.12659136807084884,6.6381724949081296,3.1759705976242e-11
Interviews with employer,YCLS summary,0.04336839410540113,0.014005664809265001,Hainmueller & Hopkins (2015),0.015917291079241728,0.07081949713156054,3.0964895059256414,0.001958267933269031
Will look for work,Pre-COVID summary,0.11768998249386423,0.015073614328328487,Hainmueller & Hopkins (2015),0.0881456984103404,0.14723426657738806,7.807681683395894,5.773159728050814e-15
Will look for work,YCLS summary,0.044973875380775914,0.013721598475891173,Hainmueller & Hopkins (2015),0.018079542368029215,0.07186820839352262,3.27759739215478,0.0010469460638058425
No plans to look for work,Pre-COVID summary,0.26900102494278594,0.014351761453585295,Hainmueller & Hopkins (2015),0.24087157249375876,0.29713047739181314,18.743415281305783,0
No plans to look for work,YCLS summary,0.14694971553736352,0.01436382995831125,Hainmueller & Hopkins (2015),0.11879660881907347,0.17510282225565357,10.230538509844651,0
Seek better job,Pre-COVID summary,0.03210676443475166,0.011223389451752967,Hainmueller & Hopkins (2015),0.010108921109315848,0.054104607760187474,2.860701267898794,0.004227051478994381
Seek better job,YCLS summary,0.02881803951828363,0.010390431242322485,Hainmueller & Hopkins (2015),0.00845279428333156,0.049183284753235704,2.7735171761593005,0.005545391290028734
Escape persecution,Pre-COVID summary,0.03806270945018617,0.02024974783297383,Hainmueller & Hopkins (2015),-0.001626796302442536,0.07775221520281489,1.8796633797190536,0.06015396945387175
Escape persecution,YCLS summary,0.03136329811715809,0.015580526023165014,Hainmueller & Hopkins (2015),8.25467111754661e-4,0.061901129122561516,2.0129806959358985,0.04411666021395777
Once as tourist,Pre-COVID summary,0.07445420346394797,0.015660207869096308,Hainmueller & Hopkins (2015),0.043760196040519214,0.10514821088737673,4.754356014065122,1.9907996144929996e-6
Once as tourist,YCLS summary,0.040057711108203664,0.015048182949698828,Hainmueller & Hopkins (2015),0.010563272526793961,0.06955214968961337,2.661963324216853,0.007768634259914586
Many times as tourist,Pre-COVID summary,0.05534596513102721,0.016310244225402202,Hainmueller & Hopkins (2015),0.02337788644923889,0.08731404381281552,3.3933253460931794,6.904957485083241e-4
Many times as tourist,YCLS summary,0.052632010503265124,0.014800681467398973,Hainmueller & Hopkins (2015),0.023622674827163136,0.08164134617936711,3.556053187091156,3.764678945230582e-4
Six months with family,Pre-COVID summary,0.08381948780282927,0.01567551063124539,Hainmueller & Hopkins (2015),0.053095486965588315,0.11454348864007023,5.347161555028078,8.934426376505655e-8
Six months with family,YCLS summary,0.048088569628608704,0.014736042785656257,Hainmueller & Hopkins (2015),0.019205925768722442,0.07697121348849496,3.2633299406145233,0.0011011124585067478
Once w/o authorization,Pre-COVID summary,0.10902725694331192,0.016182036795711195,Hainmueller & Hopkins (2015),0.07731046482371798,0.14074404906290586,6.737548450774006,1.6108225864286396e-11
Once w/o authorization,YCLS summary,0.06277716035145722,0.015750000258294056,Hainmueller & Hopkins (2015),0.03190715984520087,0.09364716085771357,3.985851385519714,6.723858920199e-5
